Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No
44,40.633945,-75.662949,620,PA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,121,2454953,-9999,4,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
384,41.214497,-85.126816,262,IN,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,125,2454957,-9999,7,-9999,1,2009,125,2454957,-9999,14,-9999
384,41.214497,-85.126816,262,IN,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,118,2454950,-9999,8,-9999,1,2009,125,2454957,-9999,14,-9999
459,36.524502,-92.751999,234,MO,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),3,2009,88,2454920,1.7320508075689,4.3333333333333,0.8819171036882,0,-9999,-9999,-9999,-9999,-9999,-9999
459,36.524502,-92.751999,234,MO,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,3,2009,87,2454919,2,8,3.0550504633039,0,-9999,-9999,-9999,-9999,-9999,-9999
489,40.287205,-74.53392,30,NJ,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,119,2454951,-9999,2,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
489,40.287205,-74.53392,30,NJ,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,117,2454949,-9999,3,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
714,38.793007,-78.026627,165,VA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,108,2454940,-9999,2,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
714,38.793007,-78.026627,165,VA,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,2,2009,106,2454938,0,4,0,0,-9999,-9999,-9999,-9999,-9999,-9999
906,38.804558,-89.944405,165,IL,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,108,2454940,-9999,21,-9999,1,2009,108,2454940,-9999,17,-9999
906,38.804558,-89.944405,165,IL,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,102,2454934,-9999,15,-9999,1,2009,102,2454934,-9999,6,-9999
950,30.178402,-81.757507,2,FL,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,66,2454898,-9999,14,-9999
950,30.178402,-81.757507,2,FL,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,66,2454898,-9999,14,-9999
974,42.466019,-71.212372,51,MA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,119,2454951,-9999,17,-9999
990,38.907368,-90.047646,158,IL,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,93,2454925,-9999,5,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
1007,39.955685,-74.874466,13,NJ,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,114,2454946,-9999,2,-9999,1,2009,117,2454949,-9999,25,-9999
1007,39.955685,-74.874466,13,NJ,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,112,2454944,-9999,3,-9999,1,2009,117,2454949,-9999,25,-9999
1147,33.863708,-84.534836,310,GA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),2,2009,77,2454909,9,8,4,2,2009,85,2454917,16.5,16.5,7.5
1147,33.863708,-84.534836,310,GA,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,68,2454900,-9999,4,-9999,2,2009,69,2454901,5,8,4
1162,43.202087,-77.602692,125,NY,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,114,2454946,-9999,7,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
1211,36.161465,-87.016701,166,TN,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,109,2454941,-9999,7,-9999
1211,36.161465,-87.016701,166,TN,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,109,2454941,-9999,7,-9999
1322,37.4659,-79.972916,388,VA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,109,2454941,-9999,4,-9999,1,2009,122,2454954,-9999,9,-9999
1322,37.4659,-79.972916,388,VA,7,Cercis,canadensis,eastern redbud,Plantae,501,Open flowers,1,2009,105,2454937,-9999,12,-9999,1,2009,119,2454951,-9999,3,-9999
1385,38.845295,-77.329628,121,VA,7,Cercis,canadensis,eastern redbud,Plantae,186,Full flowering (50%),1,2009,109,2454941,-9999,2,-9999,1,2009,109,2454941,-9999,5,-9999
